distance_km,elevation_m
4.381927,6.00
4.394305,6.00
4.406684,6.84
4.419062,6.00
4.431440,6.00
4.443819,6.48
4.456197,6.85
4.468575,5.00
4.480954,5.00
4.493332,6.00
4.505710,6.58
4.518089,7.00
4.530467,7.00
4.542845,7.71
4.555224,9.00
4.567602,10.00
4.579980,10.41
4.592359,10.00
4.604737,9.00
4.617115,9.00
4.629494,7.86
4.641872,7.00
4.654250,6.65
4.666629,6.00
4.679007,6.00
4.691385,6.00
4.703764,7.00
4.716142,6.45
4.728520,7.00
4.740898,6.00
4.753277,5.84
4.765655,5.17
4.778033,6.00
4.790412,6.81
4.802790,7.00
4.815168,7.00
4.827547,6.00
4.839925,7.00
4.852303,7.06
4.864682,10.52
4.877060,11.00
4.889438,13.00
4.901817,12.00
4.914195,13.00
4.926573,13.00
4.938952,14.00
4.951330,13.00
4.963708,14.00
4.976087,15.76
4.988465,18.71
5.000843,20.68
5.013222,23.00
5.025600,24.00
5.037978,28.00
5.050357,30.86
5.062735,33.00
5.075113,35.00
5.087492,37.00
5.099870,40.00
5.112248,43.34
5.124627,47.00
5.137005,50.00
5.149383,51.00
5.161762,54.00
5.174140,56.66
5.186518,60.00
5.198897,63.42
5.211275,66.50
5.223653,69.00
5.236031,70.44
5.248410,74.85
5.260788,77.00
5.273166,79.68
5.285545,81.00
5.297923,83.77
5.310301,86.00
5.322680,89.00
5.335058,91.00
5.347436,94.23
5.359815,97.00
5.372193,97.90
5.384571,102.00
5.396950,105.14
5.409328,108.00
5.421706,109.41
5.434085,112.00
5.446463,114.24
5.458841,118.15
5.471220,120.82
5.483598,122.00
5.495976,125.86
5.508355,127.15
5.520733,128.00
5.533111,130.08
5.545490,132.00
5.557868,134.00
5.570246,136.00
5.582625,138.74
5.595003,140.67
5.607381,144.13
5.619760,149.00
5.632138,154.00
5.644516,159.41
5.656895,164.05
5.669273,168.00
5.681651,171.08
5.694030,174.20
5.706408,177.00
5.718786,182.85
5.731164,186.00
5.743543,189.44
5.755921,192.25
5.768299,197.00
5.780678,200.00
5.793056,201.00
5.805434,203.00
5.817813,203.00
5.830191,203.44
5.842569,203.00
5.854948,203.00
5.867326,201.16
5.879704,201.00
5.892083,202.00
5.904461,202.99
5.916839,205.00
5.929218,209.00
5.941596,213.00
5.953974,214.63
5.966353,215.00
5.978731,218.00
5.991109,221.00
6.003488,223.73
6.015866,226.00
6.028244,228.70
6.040623,233.85
6.053001,237.52
6.065379,240.53
6.077758,244.70
6.090136,245.00
6.102514,243.98
6.114893,242.50
6.127271,241.00
6.139649,243.88
6.152028,245.00
6.164406,245.00
6.176784,245.61
6.189163,249.00
6.201541,251.00
6.213919,253.00
6.226297,256.00
6.238676,258.00
6.251054,261.13
6.263432,263.81
6.275811,268.00
6.288189,271.56
6.300567,276.86
6.312946,278.00
6.325324,279.63
6.337702,281.00
6.350081,281.12
6.362459,283.00
6.374837,284.00
6.387216,285.81
6.399594,289.00
6.411972,292.89
6.424351,294.00
6.436729,295.00
6.449107,296.53
6.461486,299.00
6.473864,300.00
6.486242,300.49
6.498621,302.00
6.510999,303.00
6.523377,303.00
6.535756,303.00
6.548134,303.52
6.560512,304.70
6.572891,306.00
6.585269,306.00
6.597647,307.00
6.610026,308.00
6.622404,306.64
6.634782,306.00
6.647161,304.48
6.659539,300.88
6.671917,300.00
6.684296,300.00
6.696674,300.00
6.709052,299.00
6.721430,298.00
6.733809,298.00
6.746187,296.71
6.758565,294.07
6.770944,291.37
6.783322,289.00
6.795700,288.00
6.808079,286.16
6.820457,285.00
6.832835,282.00
6.845214,280.00
6.857592,279.00
6.869970,277.00
6.882349,275.33
6.894727,272.76
6.907105,271.00
6.919484,270.00
6.931862,269.21
6.944240,268.00
6.956619,266.00
6.968997,263.00
6.981375,260.19
6.993754,254.37
7.006132,249.29
7.018510,247.00
7.030889,245.00
7.043267,242.70
7.055645,240.60
7.068024,238.00
7.080402,234.59
7.092780,232.07
7.105159,230.00
7.117537,228.18
7.129915,225.38
7.142294,222.20
7.154672,220.00
7.167050,217.00
7.179429,214.00
7.191807,211.25
7.204185,206.30
7.216564,203.00
7.228942,199.49
7.241320,198.19
7.253698,197.27
7.266077,198.00
7.278455,198.98
7.290833,201.00
7.303212,200.00
7.315590,200.00
7.327968,201.00
7.340347,202.98
7.352725,205.00
7.365103,205.00
7.377482,206.00
7.389860,208.84
7.402238,209.00
7.414617,209.00
7.426995,208.00
7.439373,207.00
7.451752,206.00
7.464130,205.71
7.476508,203.00
7.488887,202.00
7.501265,200.00
7.513643,199.09
7.526022,200.00
7.538400,198.00
7.550778,196.00
7.563157,195.03
7.575535,192.45
7.587913,191.00
7.600292,191.00
7.612670,192.00
7.625048,193.00
7.637427,193.00
7.649805,194.04
7.662183,196.00
7.674562,196.00
7.686940,194.55
7.699318,193.65
7.711697,192.00
7.724075,190.00
7.736453,188.00
7.748831,187.83
7.761210,189.00
7.773588,189.00
7.785966,189.00
7.798345,189.00
7.810723,189.00
7.823101,191.00
7.835480,191.00
7.847858,191.00
7.860236,191.00
7.872615,191.02
7.884993,191.00
7.897371,190.00
7.909750,189.00
7.922128,189.00
7.934506,189.00
7.946885,189.00
7.959263,189.00
7.971641,187.00
7.984020,186.72
7.996398,186.00
8.008776,184.53
8.021155,181.10
8.033533,178.68
8.045911,176.29
8.058290,175.21
8.070668,173.53
8.083046,171.00
8.095425,169.41
8.107803,168.00
8.120181,167.00
8.132560,165.55
8.144938,163.58
8.157316,161.00
8.169695,160.42
8.182073,160.00
8.194451,159.00
8.206830,156.00
8.219208,155.00
8.231586,153.00
8.243964,148.76
8.256343,145.79
8.268721,142.31
8.281099,140.00
8.293478,137.68
8.305856,136.00
8.318234,134.00
8.330613,133.00
8.342991,131.00
8.355369,132.17
8.367748,134.84
8.380126,138.00
8.392504,140.01
8.404883,143.16
8.417261,146.01
8.429639,148.00
8.442018,149.00
8.454396,149.00
8.466774,149.00
8.479153,148.00
8.491531,147.00
8.503909,145.14
8.516288,143.00
8.528666,141.00
8.541044,139.00
8.553423,135.98
8.565801,133.00
8.578179,130.43
8.590558,127.00
8.602936,124.28
8.615314,121.75
8.627693,118.63
8.640071,115.00
8.652449,113.21
8.664828,109.67
8.677206,107.00
8.689584,103.19
8.701963,102.12
8.714341,98.44
8.726719,96.00
8.739097,93.00
8.751476,90.17
8.763854,89.00
8.776232,87.00
8.788611,86.00
8.800989,82.04
8.813367,78.00
8.825746,75.00
8.838124,71.60
8.850502,68.11
8.862881,66.00
8.875259,63.39
8.887637,60.00
8.900016,57.09
8.912394,53.17
8.924772,50.17
8.937151,47.04
8.949529,45.00
8.961907,43.49
8.974286,41.75
8.986664,38.54
8.999042,36.35
9.011421,33.23
9.023799,30.16
9.036177,27.56
9.048556,23.47
9.060934,20.89
9.073312,17.85
9.085691,16.00
9.098069,16.00
9.110447,16.00
9.122826,16.00
9.135204,16.00
9.147582,15.00
9.159961,15.00
9.172339,16.00
9.184717,15.00
9.197096,14.00
9.209474,12.61
9.221852,11.66
9.234230,9.46
9.246609,7.29
9.258987,7.00
9.271365,7.00
9.283744,7.00
9.296122,6.00
9.308500,6.00
9.320879,6.00
9.333257,6.00
9.345635,6.00
9.358014,6.00
9.370392,5.00
9.382770,4.94
9.395149,4.00
9.407527,4.00
9.419905,3.10
9.432284,3.00
9.444662,3.00
9.457040,3.00
9.469419,3.00
9.481797,3.00
9.494175,3.00
9.506554,3.00
9.518932,3.00
9.531310,3.00
9.543689,3.00
9.556067,3.00
9.568445,3.40
9.580824,4.00
9.593202,4.00
9.605580,4.96
9.617959,5.00
9.630337,5.00
9.642715,5.79
9.655094,5.00
9.667472,5.00
9.679850,5.00
9.692229,4.93
9.704607,4.00
9.716985,3.83
9.729363,3.00
9.741742,3.00
9.754120,3.00
9.766498,4.00
9.778877,4.00
9.791255,4.51
9.803633,5.00
9.816012,4.00
9.828390,2.39
9.840768,2.00
9.853147,2.00
9.865525,3.00
9.877903,4.00
9.890282,4.00
9.902660,5.65
9.915038,5.00
9.927417,4.29
9.939795,4.17
9.952173,5.00
9.964552,5.00
9.976930,5.00
9.989308,4.00
10.001687,2.00
10.014065,2.00
10.026443,2.00
10.038822,2.00
10.051200,2.00
10.063578,2.00
10.075957,2.00
10.088335,1.89
10.100713,2.00
10.113092,2.00
10.125470,1.25
10.137848,2.00
10.150227,2.00
10.162605,2.00
10.174983,2.00
10.187362,2.00
10.199740,2.00
10.212118,2.00
10.224496,2.00
10.236875,2.00
10.249253,2.00
10.261631,2.00
10.274010,2.95
10.286388,8.00
10.298766,9.00
10.311145,11.96
10.323523,12.08
10.335901,16.00
10.348280,18.00
10.360658,21.00
10.373036,24.00
10.385415,27.00
10.397793,28.85
10.410171,30.00
10.422550,29.00
10.434928,30.00
10.447306,30.93
10.459685,31.46
10.472063,32.00
10.484441,32.00
10.496820,32.00
10.509198,31.00
10.521576,31.00
10.533955,32.00
10.546333,33.09
10.558711,35.00
10.571090,35.00
10.583468,35.00
10.595846,35.00
10.608225,32.44
10.620603,31.00
10.632981,32.00
10.645360,32.00
10.657738,30.07
10.670116,30.13
10.682495,32.00
10.694873,33.44
10.707251,36.00
10.719629,39.00
10.732008,41.00
10.744386,42.97
10.756764,45.00
10.769143,46.00
10.781521,48.00
10.793899,49.00
10.806278,49.00
10.818656,49.79
10.831034,52.00
10.843413,55.00
10.855791,56.00
10.868169,58.00
10.880548,60.00
10.892926,61.00
10.905304,62.66
10.917683,64.00
10.930061,65.00
10.942439,66.00
10.954818,67.00
10.967196,67.00
10.979574,68.35
10.991953,70.02
11.004331,72.09
11.016709,73.39
11.029088,74.41
11.041466,75.00
11.053844,77.28
11.066223,80.00
11.078601,82.91
11.090979,85.00
11.103358,87.08
11.115736,91.00
11.128114,90.19
11.140493,87.00
11.152871,84.09
11.165249,84.00
11.177628,83.00
11.190006,82.00
11.202384,80.00
11.214762,77.29
11.227141,72.95
11.239519,68.79
11.251897,65.32
11.264276,60.45
11.276654,57.00
11.289032,52.49
11.301411,49.00
11.313789,46.00
11.326167,43.51
11.338546,39.69
11.350924,37.00
11.363302,34.00
11.375681,31.52
11.388059,33.00
11.400437,35.00
11.412816,37.79
11.425194,39.00
11.437572,40.00
11.449951,41.00
11.462329,42.00
11.474707,42.00
11.487086,42.00
11.499464,42.00
11.511842,40.30
11.524221,39.00
11.536599,37.93
11.548977,34.00
11.561356,31.60
11.573734,27.28
11.586112,24.00
11.598491,21.69
11.610869,19.00
11.623247,14.08
11.635626,8.57
11.648004,4.48
11.660382,3.00
11.672761,3.00
11.685139,3.00
11.697517,3.00
11.709895,3.00
11.722274,3.00
11.734652,4.00
11.747030,3.00
11.759409,3.00
11.771787,4.00
11.784165,3.00
11.796544,3.86
11.808922,4.00
11.821300,3.00
11.833679,3.00
11.846057,3.00
11.858435,3.00
11.870814,3.00
11.883192,4.00
11.895570,4.00
11.907949,4.00
11.920327,4.00
11.932705,4.00
11.945084,4.00
11.957462,4.00
11.969840,4.00
11.982219,4.00
11.994597,4.00
12.006975,4.00
12.019354,4.00
12.031732,4.00
12.044110,4.00
12.056489,4.00
12.068867,4.00
12.081245,4.00
12.093624,4.00
12.106002,5.00
12.118380,5.00
12.130759,4.87
12.143137,4.00
12.155515,4.00
12.167894,3.00
12.180272,2.00
12.192650,2.00
12.205028,3.00
12.217407,3.00
12.229785,2.00
12.242163,3.00
12.254542,4.00
12.266920,4.42
12.279298,5.00
12.291677,5.00
12.304055,5.00
12.316433,5.00
12.328812,5.00
12.341190,4.41
12.353568,4.90
12.365947,4.00
12.378325,4.02
12.390703,4.00
12.403082,4.00
12.415460,5.00
12.427838,4.00
12.440217,4.00
12.452595,3.00
12.464973,3.00
12.477352,4.00
12.489730,4.00
12.502108,3.00
12.514487,3.00
12.526865,3.00
12.539243,3.00
12.551622,3.00
12.564000,2.00
12.576378,2.00
12.588757,5.00
12.601135,6.00
12.613513,3.88
12.625892,3.27
12.638270,3.00
12.650648,4.00
12.663027,4.00
12.675405,4.00
12.687783,5.00
12.700161,5.00
12.712540,4.00
12.724918,3.00
12.737296,4.00
12.749675,3.00
12.762053,3.00
12.774431,4.00
12.786810,4.00
12.799188,4.00
12.811566,3.00
12.823945,4.00
12.836323,3.00
12.848701,3.00
12.861080,3.00
12.873458,3.00
12.885836,3.00
12.898215,3.77
12.910593,4.00
12.922971,4.04
12.935350,5.00
12.947728,4.00
12.960106,4.00
12.972485,4.00
12.984863,4.00
12.997241,5.00
13.009620,5.00
13.021998,5.00
13.034376,5.29
13.046755,6.00
13.059133,7.00
13.071511,7.02
13.083890,8.00
13.096268,9.00
13.108646,8.00
13.121025,8.00
13.133403,8.00
13.145781,8.00
13.158160,8.00
13.170538,8.00
13.182916,8.00
13.195294,9.00
13.207673,9.64
13.220051,11.48
13.232429,14.00
13.244808,15.00
13.257186,15.00
13.269564,15.77
13.281943,15.41
13.294321,16.00
13.306699,16.64
13.319078,18.00
13.331456,19.00
13.343834,20.00
13.356213,21.00
13.368591,21.00
13.380969,20.00
13.393348,20.00
13.405726,20.00
13.418104,20.00
13.430483,21.88
13.442861,24.00
13.455239,25.00
13.467618,26.00
13.479996,27.13
13.492374,30.00
13.504753,32.86
13.517131,35.00
13.529509,38.66
13.541888,41.55
13.554266,43.00
13.566644,45.00
13.579023,48.00
13.591401,50.00
13.603779,51.00
13.616158,52.80
13.628536,54.73
13.640914,57.47
13.653293,59.00
13.665671,61.00
13.678049,63.00
13.690427,63.75
13.702806,65.00
13.715184,67.00
13.727562,68.00
13.739941,69.00
13.752319,70.64
13.764697,72.00
13.777076,74.00
13.789454,76.68
13.801832,78.00
13.814211,80.00
13.826589,82.00
13.838967,83.88
13.851346,86.00
13.863724,89.00
13.876102,91.32
13.888481,93.00
13.900859,94.05
13.913237,96.51
13.925616,97.23
13.937994,99.00
13.950372,101.00
13.962751,103.00
13.975129,105.18
13.987507,108.00
13.999886,111.68
14.012264,113.00
14.024642,116.00
14.037021,117.00
14.049399,121.00
14.061777,122.00
14.074156,124.71
14.086534,127.59
14.098912,129.00
14.111291,131.35
14.123669,134.99
14.136047,136.69
14.148426,139.00
14.160804,141.00
14.173182,142.98
14.185561,145.02
14.197939,147.00
14.210317,149.00
14.222695,150.00
14.235074,150.00
14.247452,148.23
14.259830,147.00
14.272209,145.00
14.284587,144.00
14.296965,141.99
14.309344,139.03
14.321722,134.99
14.334100,132.56
14.346479,129.89
14.358857,127.72
14.371235,125.27
14.383614,123.38
14.395992,122.00
14.408370,121.00
14.420749,119.00
14.433127,119.00
14.445505,115.37
14.457884,112.08
14.470262,109.27
14.482640,106.07
14.495019,103.46
14.507397,102.00
14.519775,101.78
14.532154,100.00
14.544532,98.00
14.556910,95.92
14.569289,94.00
14.581667,91.00
14.594045,89.48
14.606424,87.17
14.618802,86.09
14.631180,87.00
14.643559,86.00
14.655937,85.00
14.668315,84.00
14.680694,84.00
14.693072,82.45
14.705450,80.00
14.717828,79.00
14.730207,78.00
14.742585,76.37
14.754963,75.76
14.767342,74.00
14.779720,74.00
14.792098,72.05
14.804477,69.43
14.816855,67.96
14.829233,64.15
14.841612,62.00
14.853990,60.00
14.866368,60.00
14.878747,59.00
14.891125,59.00
14.903503,57.00
14.915882,56.00
14.928260,55.00
14.940638,53.22
14.953017,51.00
14.965395,49.24
14.977773,47.00
14.990152,45.00
15.002530,43.03
15.014908,41.00
15.027287,40.17
15.039665,38.45
15.052043,36.96
15.064422,35.00
15.076800,34.00
15.089178,33.00
15.101557,32.85
15.113935,31.00
15.126313,30.19
15.138692,30.00
15.151070,29.00
15.163448,28.00
15.175827,27.00
15.188205,26.21
15.200583,25.74
15.212961,25.00
15.225340,24.00
15.237718,22.98
15.250096,22.00
15.262475,21.00
15.274853,21.00
15.287231,20.00
15.299610,20.00
15.311988,20.00
15.324366,19.00
15.336745,19.67
15.349123,20.00
15.361501,18.27
15.373880,18.00
15.386258,17.00
15.398636,16.00
15.411015,16.00
15.423393,15.00
15.435771,14.00
15.448150,13.00
15.460528,12.00
15.472906,11.10
15.485285,11.00
15.497663,11.00
15.510041,11.00
15.522420,11.61
15.534798,12.00
15.547176,13.00
15.559555,13.00
15.571933,13.00
15.584311,13.00
15.596690,13.00
15.609068,13.00
15.621446,13.00
15.633825,12.00
15.646203,12.00
15.658581,12.00
15.670960,10.00
15.683338,11.00
15.695716,9.00
15.708094,8.00
15.720473,6.40
15.732851,5.00
